time,time,ci
2019-01-02 18:30:00,2019-01-02 18:30:00,0.009301897171974608
2019-01-02 18:35:00,2019-01-02 18:35:00,0.009252688940034878
2019-01-02 18:40:00,2019-01-02 18:40:00,0.0034514628223029815
2019-01-02 18:45:00,2019-01-02 18:45:00,0.0014024324344019058
2019-01-02 18:50:00,2019-01-02 18:50:00,-0.000306506808661554
2019-01-02 18:55:00,2019-01-02 18:55:00,0.003336184720530969
2019-01-02 19:00:00,2019-01-02 19:00:00,0.005764499879645916
2019-01-02 19:05:00,2019-01-02 19:05:00,0.004070438977669347
2019-01-02 19:10:00,2019-01-02 19:10:00,0.0044633144903002825
2019-01-02 19:15:00,2019-01-02 19:15:00,0.006056647461317776
2019-01-02 19:20:00,2019-01-02 19:20:00,0.004440597683992403
2019-01-02 19:25:00,2019-01-02 19:25:00,0.0042924305310346016
2019-01-02 19:30:00,2019-01-02 19:30:00,0.006078234880517673
2019-01-02 19:35:00,2019-01-02 19:35:00,0.002532706865477818
2019-01-02 19:40:00,2019-01-02 19:40:00,0.006563946375033578
2019-01-02 19:45:00,2019-01-02 19:45:00,0.0035137933344841616
2019-01-02 19:50:00,2019-01-02 19:50:00,0.0025183879656597427
2019-01-02 19:55:00,2019-01-02 19:55:00,0.0073187959001654555
2019-01-02 20:00:00,2019-01-02 20:00:00,0.0038223171219012504
2019-01-02 20:05:00,2019-01-02 20:05:00,0.005330295061310904
2019-01-02 20:10:00,2019-01-02 20:10:00,0.005028374597918263
2019-01-02 20:15:00,2019-01-02 20:15:00,0.00311597287068437
2019-01-02 20:20:00,2019-01-02 20:20:00,0.004539004031449813
2019-01-02 20:25:00,2019-01-02 20:25:00,0.0035698224874981276
2019-01-02 20:30:00,2019-01-02 20:30:00,0.007466516240647753
2019-01-02 20:35:00,2019-01-02 20:35:00,0.0032445695462290326
2019-01-02 20:40:00,2019-01-02 20:40:00,0.005786207481802718
2019-01-02 20:45:00,2019-01-02 20:45:00,0.005041247662701152
2019-01-02 20:50:00,2019-01-02 20:50:00,0.004320088747853929
2019-01-02 20:55:00,2019-01-02 20:55:00,0.004750494312564597
2019-01-02 21:00:00,2019-01-02 21:00:00,0.004974457271919199
